City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
196,kodinsk,RU,2022-05-25 17:45:58,58.6881,99.1844,283.11,97,69,2.36
197,gat,IL,2022-05-25 17:42:03,31.61,34.7642,298.37,100,0,3.22
198,bon accord,CA,2022-05-25 17:45:59,53.8335,-113.4187,292.49,51,40,1.03
199,lodja,CD,2022-05-25 17:46:00,-3.4833,23.4333,294.37,92,92,0.69
200,avarua,CK,2022-05-25 17:46:01,-21.2078,-159.775,296.18,94,100,1.03
201,lebu,CL,2022-05-25 17:46:01,-37.6167,-73.65,284.49,70,0,6.55
202,road town,VG,2022-05-25 17:46:02,18.4167,-64.6167,303.17,62,20,5.14
203,tamugan,PH,2022-05-25 17:46:03,7.2308,125.3764,295.84,89,97,0.07
204,igrim,RU,2022-05-25 17:46:04,63.1906,64.4162,287.86,74,97,5.45
205,kodiak,US,2022-05-25 17:46:05,57.79,-152.4072,280.88,81,100,0.0
206,cidreira,BR,2022-05-25 17:42:40,-30.1811,-50.2056,296.56,63,16,3.85
207,saurimo,AO,2022-05-25 17:46:06,-9.6608,20.3916,291.95,40,81,1.78
208,piopio,NZ,2022-05-25 17:46:07,-38.4667,175.0167,281.53,99,39,0.69
209,yenagoa,NG,2022-05-25 17:46:08,4.9247,6.2642,297.82,90,80,1.49
210,soe,ID,2022-05-25 17:46:09,-9.8607,124.284,292.45,94,61,1.22
211,cap malheureux,MU,2022-05-25 17:46:10,-19.9842,57.6142,296.19,74,16,1.34
212,rio grande,BR,2022-05-25 17:44:46,-32.035,-52.0986,295.21,69,100,2.47
213,shimoda,JP,2022-05-25 17:46:11,34.6667,138.95,292.09,87,47,2.09
214,miles city,US,2022-05-25 17:46:12,46.4083,-105.8406,292.69,42,0,3.09
215,belaya gora,RU,2022-05-25 17:46:13,68.5333,146.4167,276.3,72,67,5.21
216,karwar,IN,2022-05-25 17:46:14,14.8,74.1333,300.69,86,68,3.3
217,zhanaozen,KZ,2022-05-25 17:46:15,43.3,52.8,289.75,39,99,5.45
218,dasoguz,TM,2022-05-25 17:46:16,41.8363,59.9666,296.12,38,0,4.12
219,cervo,ES,2022-05-25 17:46:16,43.6702,-7.4101,288.88,76,41,2.32
220,deer lake,CA,2022-05-25 17:46:17,49.1667,-57.4316,290.07,27,20,5.66
221,komsomolskiy,UZ,2022-05-25 17:46:18,40.4272,71.7189,296.55,49,0,2.06
222,basoko,CD,2022-05-25 17:46:19,1.2391,23.616,295.35,88,75,1.65
223,chaohu,CN,2022-05-25 17:46:20,31.6,117.8667,294.64,78,100,4.58
224,tipperary,IE,2022-05-25 17:46:21,52.4733,-8.1558,286.51,77,86,6.77
225,constitucion,CL,2022-05-25 17:42:34,-35.3333,-72.4167,287.35,57,63,5.73
226,newtyle,GB,2022-05-25 17:46:22,56.5585,-3.1437,287.62,54,20,9.77
227,gudari,IN,2022-05-25 17:46:23,19.35,83.7833,301.15,51,60,1.6
228,marseille,FR,2022-05-25 17:46:23,43.3333,5.5,296.25,49,78,2.24
229,vestmanna,FO,2022-05-25 17:47:24,62.1564,-7.1664,280.66,87,75,9.26
230,bereda,ES,2022-05-25 17:47:25,43.2686,-7.5406,291.16,61,32,3.06
231,zabid,YE,2022-05-25 17:47:26,14.1951,43.3152,303.32,66,71,3.05
232,port keats,AU,2022-05-25 17:47:26,-14.25,129.55,296.01,44,26,3.23
233,mahebourg,MU,2022-05-25 17:47:27,-20.4081,57.7,296.31,78,20,2.57
234,mehran,IR,2022-05-25 17:47:28,33.1222,46.1646,303.14,18,0,3.83
235,pechenga,RU,2022-05-25 17:47:28,69.5259,31.1703,287.13,57,97,4.98
236,sur,OM,2022-05-25 17:47:29,22.5667,59.5289,306.28,44,2,5.84
237,haines junction,CA,2022-05-25 17:47:30,60.7522,-137.5108,282.12,53,74,2.06
238,annau,TM,2022-05-25 17:47:30,37.8876,58.516,298.87,36,100,5.14
239,acarau,BR,2022-05-25 17:47:31,-2.8856,-40.12,301.27,74,12,3.56
240,aksu,CN,2022-05-25 17:47:32,41.1231,80.2644,299.1,26,45,3.81
241,los llanos de aridane,ES,2022-05-25 17:47:33,28.6585,-17.9182,293.22,76,75,5.66
242,esperance,AU,2022-05-25 17:47:33,-33.8667,121.9,287.98,80,60,2.67
243,san carlos de bariloche,AR,2022-05-25 17:47:34,-41.1456,-71.3082,279.51,50,40,1.03
244,samarai,PG,2022-05-25 17:43:51,-10.6167,150.6667,299.29,81,27,4.27
245,santa cruz,BO,2022-05-25 17:44:00,-17.8,-63.1667,302.18,58,75,8.75
246,sangar,RU,2022-05-25 17:47:36,63.9242,127.4739,272.54,92,19,3.06
247,airai,TL,2022-05-25 17:47:36,-8.9266,125.4092,288.17,93,100,1.1
248,east london,ZA,2022-05-25 17:47:37,-33.0153,27.9116,289.67,88,0,2.57
249,puerto del rosario,ES,2022-05-25 17:47:38,28.5004,-13.8627,295.01,64,20,8.23
250,sitka,US,2022-05-25 17:47:39,57.0531,-135.33,282.09,76,40,0.0
251,baykit,RU,2022-05-25 17:47:40,61.67,96.37,282.67,87,79,2.41
252,alice springs,AU,2022-05-25 17:47:36,-23.7,133.8833,284.9,71,39,0.0
253,lavrentiya,RU,2022-05-25 17:47:41,65.5833,-171.0,276.36,80,63,2.98
254,kirakira,SB,2022-05-25 17:47:42,-10.4544,161.9205,298.94,85,14,2.86
255,laguna,US,2022-05-25 17:43:52,38.421,-121.4238,307.09,28,0,2.57
256,broome,US,2022-05-25 17:47:44,42.2506,-75.833,296.18,52,100,2.24
257,nador,MA,2022-05-25 17:47:44,35.174,-2.9287,298.19,73,0,2.06
258,zolotukhino,RU,2022-05-25 17:47:45,52.0842,36.3772,290.19,80,26,1.84
259,deyskoye,RU,2022-05-25 17:47:45,43.4755,44.1618,287.23,82,75,2.92
260,maarianhamina,AX,2022-05-25 17:47:46,60.0973,19.9348,284.07,87,0,6.17
261,carballo,ES,2022-05-25 17:47:47,43.213,-8.691,293.16,76,44,3.31
262,krasnodon,UA,2022-05-25 17:47:47,48.2923,39.7373,285.23,76,74,1.98
263,pevek,RU,2022-05-25 17:47:48,69.7008,170.3133,274.2,88,56,1.13
264,mildura,AU,2022-05-25 17:47:49,-34.2,142.15,285.41,93,95,3.06
265,sabha,LY,2022-05-25 17:47:50,27.0377,14.4283,307.54,8,1,2.2
266,balkanabat,TM,2022-05-25 17:47:50,39.5108,54.3671,294.57,45,1,5.37
267,uetze,DE,2022-05-25 17:47:51,52.4651,10.2047,292.36,51,94,5.66
268,chase,CA,2022-05-25 17:47:52,50.8165,-119.6857,289.34,68,100,1.35
269,suchitoto,SV,2022-05-25 17:47:52,13.9381,-89.0278,300.66,67,73,1.52
270,abha,SA,2022-05-25 17:47:53,18.2164,42.5053,297.05,50,20,2.57
271,marawi,PH,2022-05-25 17:47:54,7.9986,124.2928,294.07,95,100,0.53
272,nelson bay,AU,2022-05-25 17:47:54,-32.7167,152.15,286.53,97,100,1.29
273,tadpatri,IN,2022-05-25 17:47:55,14.9167,78.0167,307.72,35,99,2.2
274,sebezh,RU,2022-05-25 17:47:56,56.2955,28.4654,287.65,77,95,1.75
275,praia da vitoria,PT,2022-05-25 17:47:56,38.7333,-27.0667,293.57,72,20,4.12
276,bonavista,CA,2022-05-25 17:47:57,48.6499,-53.1147,279.93,63,100,6.28
277,kieta,PG,2022-05-25 17:48:58,-6.2167,155.6333,298.78,82,73,1.16
278,alofi,NU,2022-05-25 17:48:58,-19.0595,-169.9187,294.09,100,37,0.51
279,mbaiki,CF,2022-05-25 17:48:59,3.8678,17.9892,294.97,97,46,0.76
280,ullapool,GB,2022-05-25 17:49:00,57.8987,-5.1604,285.57,80,72,9.16
281,genhe,CN,2022-05-25 17:49:01,50.7833,121.5167,281.45,50,33,0.53
282,prokudskoye,RU,2022-05-25 17:49:01,55.0089,82.4574,291.08,55,0,3.0
283,adrar,MR,2022-05-25 17:49:02,20.5022,-10.0711,312.75,7,3,2.35
284,ucar,AZ,2022-05-25 17:49:03,40.519,47.6542,288.25,59,70,3.78
285,bilhaur,IN,2022-05-25 17:49:04,26.85,80.0833,305.68,28,5,1.87
286,waingapu,ID,2022-05-25 17:49:04,-9.6567,120.2641,298.66,86,95,3.49
287,deputatskiy,RU,2022-05-25 17:49:05,69.3,139.9,269.89,96,99,2.44
288,hermiston,US,2022-05-25 17:45:05,45.8404,-119.2895,295.63,53,0,6.69
289,mamit,IN,2022-05-25 17:49:07,23.9333,92.4833,292.36,98,59,1.24
290,chicama,PE,2022-05-25 17:49:09,-7.8447,-79.1469,289.45,62,47,4.06
291,benguela,AO,2022-05-25 17:49:10,-12.5763,13.4055,295.24,79,13,2.94
292,saint george,US,2022-05-25 17:49:10,37.1041,-113.5841,302.28,13,0,1.79
293,klaksvik,FO,2022-05-25 17:49:11,62.2266,-6.589,281.66,82,52,8.85
294,yumen,CN,2022-05-25 17:49:12,40.2833,97.2,292.88,11,100,10.12
295,ulaanbaatar,MN,2022-05-25 17:49:14,47.9077,106.8832,279.22,42,0,1.0
296,hambantota,LK,2022-05-25 17:49:14,6.1241,81.1185,300.03,85,57,6.16
297,lasa,IT,2022-05-25 17:49:15,46.6166,10.7002,289.64,89,95,1.3
298,pochutla,MX,2022-05-25 17:49:16,15.7432,-96.4661,304.16,54,87,5.16
299,zlobin,HR,2022-05-25 17:49:17,45.2924,14.6541,292.76,60,40,2.57
300,proletarskiy,RU,2022-05-25 17:49:18,50.7914,35.7731,284.38,84,84,3.1
301,yulara,AU,2022-05-25 17:49:18,-25.2406,130.9889,287.31,63,1,3.66
302,dingle,PH,2022-05-25 17:49:19,10.9995,122.6711,299.09,86,36,1.04
